mid,balance,leverage,trades
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
71236.75,1.0000015,1.9224849,5241.0
